tti,scheduler,throughput_rb,fairness
0,RR,5,1
1,RR,5,1
2,RR,5,1
3,RR,5,1
4,RR,5,1
5,RR,5,1
6,RR,5,1
7,RR,5,1
8,RR,5,1
9,RR,5,1
10,RR,5,1
11,RR,5,1
12,RR,5,1
13,RR,5,1
14,RR,5,1
15,RR,5,1
16,RR,2,0.999108
17,RR,3,1
18,RR,0,1
19,RR,0,1
20,RR,5,1
21,RR,0,1
22,RR,0,1
23,RR,0,1
24,RR,5,1
25,RR,0,1
26,RR,0,1
27,RR,0,1
28,RR,5,1
29,RR,0,1
30,RR,0,1
31,RR,5,1
32,RR,0,1
33,RR,0,1
34,RR,3,0.999486
35,RR,2,1
36,RR,0,1
37,RR,1,0.999675
38,RR,4,1
39,RR,0,1
40,RR,1,0.999703
41,RR,4,1
42,RR,0,1
43,RR,0,1
44,RR,5,1
45,RR,0,1
46,RR,0,1
47,RR,0,1
48,RR,5,1
49,RR,0,1
50,RR,0,1
51,RR,5,1
52,RR,0,1
53,RR,0,1
54,RR,3,0.999685
55,RR,2,1
56,RR,0,1
57,RR,0,1
58,RR,5,1
59,RR,0,1
60,RR,0,1
61,RR,0,1
62,RR,5,1
63,RR,0,1
64,RR,0,1
65,RR,5,1
66,RR,0,1
67,RR,0,1
68,RR,0,1
69,RR,5,1
70,RR,0,1
71,RR,0,1
72,RR,5,1
73,RR,0,1
74,RR,0,1
75,RR,5,1
76,RR,0,1
77,RR,0,1
78,RR,0,1
79,RR,5,1
80,RR,0,1
81,RR,5,1
82,RR,0,1
83,RR,0,1
84,RR,2,0.999819
85,RR,3,1
86,RR,0,1
87,RR,0,1
88,RR,5,1
89,RR,0,1
90,RR,0,1
91,RR,3,0.999839
92,RR,2,1
93,RR,0,1
94,RR,0,1
95,RR,5,1
96,RR,0,1
97,RR,0,1
98,RR,4,0.999904
99,RR,1,1
